Qty;Value;Device;Package;Parts;Description;Search Keywords, remarks;Buying URL
3;;M02PTH;1X02;JP2, JP4, JP7;"Standard 2-pin 0.1 header. Use with""";;
1;;M08;1X08_ROUND;JP1;Header 8;;
1;;PINHD-1X1;1X01;JP3;"Pin header 1x1 for 0.1 spacing""";;
1;;SMACONNECTOR_EDGE;SMA_EDGELAUNCH;ANT;SMA Connector;;
1;;USB_C16PIN;USB-C-16P;J2;USB Type C 16Pin Connector;USB Type c 16 pin;https://de.aliexpress.com/item/33056042016.html?spm=a2g0s.9042311.0.0.4a9b4c4dQIyuQ2
1;0.47uF;CAP0603-CAP;0603-CAP;C4;Capacitor;;
3;1.0uF;1.0UF-16V-10%(0603);0603-CAP;C5, C12, C17;CAP-00868;;
1;1.1k;R-EU_R0603;R0603;R4;RESISTOR, European symbol;;
1;100R;R-EU_R0603;R0603;R23;RESISTOR, European symbol;;
5;100k;R-EU_R0603;R0603;R25, R1, R2, R24, R28;RESISTOR, European symbol;;
3;100n;1.0UF-16V-10%(0603);0603-CAP;C11, C22, C3;CAP-00868;;
4;100µ;C-EUC1206;C1206;C2, C16, C20, C21;CAPACITOR, European symbol;;
2;10k;RESISTOR_0603_NOOUT;0603-NO;R10, R11;Resistors;;
1;10mOhm;R-EU_R0805;R0805;R5;RESISTOR, European symbol;;
9;10...47uF;CAP_CERAMIC0805-NOOUTLINE;0805-NO;C13, C15, C6, C7, C8, C10, C1, C9, C23;Ceramic Capacitors;;
1;12k;R-EU_R0603;R0603;R20;RESISTOR, European symbol;;
2;130pf;1.0UF-16V-10%(0603);0603-CAP;C14, C19;CAP-00868;;
7;1K;RESISTOR_0603_NOOUT;0603-NO;R3, R7, R16, R17, R8, R26, R27;Resistors;;
1;22R;RESISTOR_0603_NOOUT;0603-NO;R22;Resistors;;
1;27p;C-EUC0603;C0603;C18;CAPACITOR, European symbol;;
1;2X18650;2X18650;2X18650;U$10;;single or dual 18650 holder, surface mount;https://de.aliexpress.com/item/4000868337607.html?spm=a2g0o.productlist.0.0.533d5f0fwYZxXc&s=p&ad_pvid=20200719050327118341633435090009798010_2&algo_pvid=546db6ff-262a-4fc3-b3a8-c994f9f8df9c&algo_expid=546db6ff-262a-4fc3-b3a8-c994f9f8df9c-1&btsid=0ab6f83a15951602071962487e2203&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1;3.3k;R-EU_R0603;R0603;R19;RESISTOR, European symbol;;
1;4.7R;R-EU_R0603;R0603;R18;RESISTOR, European symbol;;
4;5.1k;R-EU_R0603;R0603;R12, R13, R6, R9;RESISTOR, European symbol;;
2;68R;RESISTOR_0603_NOOUT;0603-NO;R14, R15;Resistors;;
1;7.5MM-COIL;7.5MM-COIL;7.5MM_COIL;U$35;;;
1;8205A;8205A;TSSOP8;U$46;Dual Mosfet;;
1;82k;R-EU_R0603;R0603;R21;RESISTOR, European symbol;;
1;AP2112(3.3V);VREG_SOT23-5;SOT23-5;U2;SOT23-5 Fixed Voltage Regulators;;
1;BLUE;LED0805_NOOUTLINE;CHIPLED_0805_NOOUTLINE;D4;LED;;
1;BME280;BME280;BME280;U3;BME280 - Environmental Sensor (I2C + SPI);;
1;BQ27441-G1;BQ27441-G1;PDSO-N12;U1;Fuel gauge IC;;
1;BUZZER;BUZZER;BUZZER;U$2;;9032 9,0 x 3.2 magnetic buzzer;https://de.aliexpress.com/item/4000148853278.html?spm=a2g0o.productlist.0.0.1e2b47c8cLVZ34&algo_pvid=1e2a7d93-edf3-4403-90f8-860cc60dadb2&algo_expid=1e2a7d93-edf3-4403-90f8-860cc60dadb2-3&btsid=0ab6f83a15951601240371239e2203&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
3;DMG2305;MOSFET-P;SOT23-R;Q2, Q3, Q4;P-Channel Mosfet;;
1;DW-01;DW-01;SOT23-6;U$38;Lithium protection IC;;
1;G5177C;G5177C;SO-08;U$41;Synchronous boost converter IC;;
1;JST-SH-3;JST-SH-3;JST-SH-3;U$17;actually, surface mount 4-pin 1mm connector for GPS: JST-SH4;;
1;JSTPH;CON_JST_PH_2PIN;JSTPH2;X1;JST 2-Pin Right-Angle Connector;;
3;LS12T2;LS12T2;LS12T2;DWN, DWN1, DWN2;Pushbutton;Digikey 1642-1312-1-ND;
1;MBR120;DIODE-SCHOTTKYSOD-123;SOD-123;D1;;;
1;NRF52840;NRF52840;NRF52840MOD;U$14;Manufactued by HolyIOT or waveshare;;https://de.aliexpress.com/item/32868002366.html?spm=a2g0s.9042311.0.0.27424c4duvmlGy
3;RED;LED0805_NOOUTLINE;CHIPLED_0805_NOOUTLINE;D2, D3, D5;LED;;
1;SWITCH_SPDT;SWITCH_SPDT;KPS-1290;U$45;SWCH-10651;SPDT MSK-12C02;https://de.aliexpress.com/item/32856542440.html?spm=a2g0o.productlist.0.0.30f944e5Z3Pu2r&algo_pvid=e5dfc7c1-209a-4137-9b26-db79ca850f0e&algo_expid=e5dfc7c1-209a-4137-9b26-db79ca850f0e-9&btsid=0ab50a5715951606738842812ef457&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1;SX1262-30DBM;SX1262-30DBM;SX1262-30DBM;U$15;1W LoRa module by ebyte;search ebyte on aliexpress and get the E22 variants which can contain either a SX1262 or SX1268 and come in 22dbm or 30dbm variants;
1;SX1292-EBYTE;SX1292-EBYTE;SX1262_EBYTE;U$36;22dbm LoRa module by ebyte;;
1;TP4056;TP4056;SO-08;U$3;Lithium charger;;
6;TPSQTP13R;TPSQTP13R;TP13R;1V8, 3V3, G, RST, SWC, SWD;Test pad;;
